학년도,기간(1),기간(2),총 계,남,여,인문,자연,예체능,재학생,졸업생,검정등,3개 영역 이하 응시수수료,4개 영역 응시수수료,5개 영역 응시수수료,6개 영역 응시수수료
1994,1993-06-11~06-24,(14일간),742668,437465,305203,336941,340252,65475,521806,213459,7403,12000,12000,12000,
1994,1993-10-02~10-11,(14일간),750181,444612,305569,342555,343168,64458,496617,243826,9738,12000,12000,12000,
1995,1994-09-12~09-27,(16일간),781749,452360,329389,372311,336390,73048,477960,261492,42297,12000,12000,12000,
1996,1995-09-11~09-23,(13일간),840661,478707,361954,413958,351719,74984,526833,300482,13346,12000,12000,12000,
1997,1996-09-02~09-14,(13일간),824374,472527,351847,393295,356560,74519,545023,268044,11307,12000,12000,12000,
1998,1997-09-01~09-13,(12일간),885321,495179,390142,428064,375023,82234,613376,261424,10521,12000,12000,12000,
1999,1998-09-01~09-15,(14일간),868643,475625,393018,426423,346736,95484,623130,233893,11620,12000,12000,12000,
2000,1999-09-01~09-11,(10일간),896122,483602,412520,466651,310105,119366,631745,250064,14313,15000,15000,15000,
2001,2000-09-01~09-16,(14일간),872297,465546,406751,481027,256608,134662,603238,254538,14521,20000,20000,20000,
2002,2001-08-27~09-08,(12일간),739129,390473,348656,416700,198963,123466,541662,185946,11521,20000,20000,20000,
2003,2002-08-28~09-10,(12일간),675922,356418,319504,365892,204790,105240,482089,179880,13953,22000,22000,22000,
2004,2003-08-27~09-16,(12일간),674154,357421,316733,361002,211253,101899,476129,184317,13708,22000,22000,22000,
2005,2004-08-31~09-15,(12일간),610257,324700,285557,,,,435538,161524,13195,31000,36000,41000,
2006,2005-08-30~09-14,(12일간),593806,314323,279483,,,,422310,159190,12306,37000,42000,47000,
2007,2006-08-29~09-13,(12일간),588899,313715,275184,,,,425396,151697,11806,37000,42000,47000,
2008,2007-08-28~09-12,(12일간),584934,312064,272870,,,,446597,126729,11608,37000,42000,47000,
2009,2008-09-01~09-17,(12일간),588839,313002,275837,,,,448472,127586,12781,37000,42000,47000,
2010,2009-08-26~09-10,(12일간),677834,358142,319692,,,,532436,130658,14740,37000,42000,47000,
2011,2010-08-25~09-09,(12일간),712227,379385,332842,,,,541880,154661,15686,37000,42000,47000,
2012,2011-08-24~09-08,(12일간),693631,371771,321860,,,,526418,151887,15326,37000,42000,47000,
2013,2012-08-22~09-06,(12일간),668522,356924,311598,,,,510972,142561,14989,37000,42000,47000,
2014,2013-08-22~09-06,(12일간),650747,342776,307971,,,,509081,127634,14032,37000,42000,47000,
2015,2014-08-25~09-12,(12일간),640621,333204,307417,,,,495027,131539,14055,37000,42000,47000,
2016,2015-08-27~09-11,(12일간),631187,323783,307404,,,,482054,136090,13043,37000,42000,47000,
2017,2016-08-25~09-09,(12일간),605987,310451,295536,,,,459342,135120,11525,37000,37000,42000,47000
2018,2017-08-24~09-08,(12일간),593527,303620,289907,,,,444873,137533,11121,37000,37000,42000,47000
2019,2018-08-23~09-07,(12일간),594924,306141,288783,,,,448111,135482,11331,37000,37000,42000,47000
2020,2019-08-22~09-06,(12일간),548734,282036,266698,,,,394024,142271,12439,37000,37000,42000,47000
2021,2020-09-03~09-18,(12일간),493434,254027,239407,,,,346673,133070,13691,37000,37000,42000,47000
2022,2021-08-19~09-03,(12일간),509821,261350,248471,,,,360710,134834,14277,37000,37000,42000,47000
2023,2022-08-18~09-02,(12일간),508030,260126,247904,,,,350239,142303,15488,37000,37000,42000,47000
2024,2023-08-24~09-08,(12일간),504588,258692,245896,,,,326646,159742,18200,37000,37000,42000,47000